agency_name,city,state,agency_type,agency_latitude,agency_longitude,ft_sworn,agency_population,validated_week_name,record_month,validated_day,record_year
Saint Petersburg Police Department,Saint Petersburg,FL,Local Police Department,27.77177,-82.65231,510,785,Thursday,August,2,2018
Webster City Police Department,Webster,FL,Local Police Department,28.60906,-82.0532,3,3,Friday,August,3,2018
Tavares Police Department,Tavares,FL,Local Police Department,28.80257,-81.726715,31,43,Wednesday,August,1,2018
Altha Police Department,Altha,FL,Local Police Department,30.570412,-85.127625,1,1,Monday,July,30,2018
Davenport Police Department,Davenport,FL,Local Police Department,28.1597,-81.600464,9,10,Thursday,August,2,2018
Miami Police Department,Miami,FL,Local Police Department,25.77828,-80.19843,1104,1481,Wednesday,August,1,2018
Fort Pierce Police Department,Fort Pierce,FL,Local Police Department,27.437439,-80.32449,126,175,Friday,August,3,2018
Ocean Ridge Police Department,Boynton Beach,FL,Local Police Department,26.529358,-80.04913,13,18,Thursday,August,2,2018
Plant City Police Department,Plant City,FL,Local Police Department,27.983053,-82.10802,64,88,Wednesday,August,1,2018
Dunnellon Police Department,Dunnellon,FL,Local Police Department,29.048918,-82.462105,6,8,Wednesday,August,1,2018
Bay Harbor Islands Police Department,Miami,FL,Local Police Department,25.88746,-80.13111,22,28,Wednesday,August,1,2018
